10 0.1 0.1 0.4 0 0.1 0 0 0.3
20 0.15 0 0.1 0.2 0.3 0.15 0.05 0.05
50 0.08 0.16 0.16 0.22 0 0.2 0.08 0.1
100 0.11 0.06 0.12 0.13 0.08 0.23 0.13 0.14
200 0.11 0.135 0.105 0.11 0.12 0.145 0.135 0.14
500 0.138 0.098 0.138 0.102 0.136 0.14 0.114 0.134
1000 0.125 0.133 0.128 0.118 0.129 0.11 0.133 0.124
2000 0.122 0.1205 0.131 0.117 0.1275 0.131 0.1245 0.1265
5000 0.1122 0.1254 0.128 0.1264 0.1272 0.1254 0.136 0.1194
10000 0.127 0.1242 0.1241 0.1214 0.1251 0.125 0.1235 0.1297
20000 0.1268 0.12285 0.12905 0.125 0.12275 0.1234 0.1236 0.12655
50000 0.12588 0.1238 0.12522 0.12224 0.12482 0.12602 0.12662 0.1254
100000 0.12698 0.12441 0.12478 0.12639 0.12606 0.12377 0.1226 0.12501
